,HHO,GA,HHO_SMA,HHO_DE_Chaos/0.3
0,2062412027.192011,5575043061.707998,2155278324.033986,1928222706.7615776
1,2919710364.281713,5534511433.792984,1294309863.6497798,1662840262.8382838
2,1658640372.50026,5462820447.480917,3013997067.3643646,2058107917.1396146
3,2376900029.753054,5695579047.359112,2150490496.3492336,1544549452.7470455
4,2910722208.0560074,5806233390.276123,2405608664.004686,2360559597.173254
5,2149166219.887968,6135659904.662661,3326675259.747031,1797040735.1480188
6,1432550031.3916144,5684064793.412224,3117537444.709222,1492999739.5986338
7,2597746906.5710483,5579754395.346712,2522610581.329405,1939835078.7419047
8,3037267429.042139,5144515920.121785,3177107466.8769846,2936930128.0062466
9,2816758901.8547,5582227687.817087,3127690662.4999523,2522103047.445821
10,3006827125.6653395,5195877825.280522,2536017988.19392,1741580949.0545158
11,2682793321.275741,5452561540.285404,2084786921.421979,1861741293.858869
12,2367350975.1857815,5449057523.82284,2043669205.928739,1934447897.317922
13,2163134973.8122377,5294505301.163688,2898762204.8475456,1916418738.2296798
14,1893262144.752087,4970255904.072283,1018756416.0410419,904393098.6914585
15,2917945342.0835495,6132915694.266073,2494520299.702552,2143418414.7444694
16,1769968029.8050418,6332797347.107178,2543380627.3082876,1739824981.8499928
17,2450418261.5948734,5935771193.785766,2683015778.262308,1848567466.4751096
18,2294369770.508629,5271160057.775118,1783785182.8633165,1808600914.2978363
19,2194259236.7347493,5389864393.22227,1922175348.7227144,1917259374.1217742
